Francais,Malagasy,Anglais
art et artisanat,zavakanto,art and handicrafts
grain de collier (un),vakana,bead (a)
gravure (une),sokitra,"carving (a),engraving (an)"
inscription (une),sokitra,"carving (a),engraving (an)"
perle (une),vakana,bead (a)
astronomie,haikintana,astronomy
apparaître,miposaka,"appear (to),rise [sun] (to)"
ciel,lanitra,"heaven,sky"
cieux,lanitra,"heaven,sky"
clair de lune,"diam-panjava,diavolana",moonlight
clair de lune (un),davolana,moonlight (a)
éclipse de lune,takonam-bolana,eclipse (lunar)
éclipse de lune (une),lo e volana,lunar eclipse (a)
éclipse de soleil (une),lo e masoandro,solar eclipse (a)
éclipse du soleil,takona-masoandro,eclipse (solar)
étoile,"fantara,kintana","meteor,star"
étoile filante (une),tainkintana,"meteor (a),shooting star (a)"
firmament,"habaka,lanitra","heaven,sky"
lever de lune (un),fiposahana,"moonrise,sunrise"
lever de soleil (un),fiposahana,"moonrise,sunrise"
lever [soleil] (se),miposaka,"appear (to),rise [sun] (to)"
lune (la),volana,moon (the)
lune (la pleine),feno volana,moon (a full)
météore,fantara,"meteor,star"
météore (un),tainkintana,"meteor (a),shooting star (a)"
météorite (une),tainkintana,"meteor (a),shooting star (a)"
nouvelle lune,tsinana,new moon
orion,telonohorefy,orion
pléiades (les),kotokelimiadilaona,pleiades (the)
pleine lune,"fenomanana,taboka,vorofotsy",full moon
soleil,masoandro,sun
télescope,masolavitra,telescope
vénus,"fitarikandro,vadim-bolana,vasiavadimbola",venus
biologie,haiaina,biology
abdomen (un),kibo,"abdomen (an),belly (a),stomach (a),womb (a)"
accouché (qui a),teraka,"born,delivered of child"
accoucher,miteraka,birth (to give)
aisselle (une),helika,armpit (an)
amygdales (les),amboakelintenda,tonsils (the)
annulaire (un),manarapoana,finger (a ring)
anus (un),"fory,masom-pory,masontay",anus (an)
apparence,tarehy,"appearance,face"
appendice,"kambin-tsinay,kambontsinay","appendix,vermiform appendix"
apprendre,mandre,"hear (to),perceive (to)"
arête (une),taolana,bone (a)
artère,"fanely,lalan-dra","artery,blood vessel,vein"
articulation (une),"famavany,tonon-taolana","articulation (an),joint (a)"
auriculaire (le doigt),ankikely,"finger (the little),pinky (the)"
auriculaire (un),"ankihikely,bisibisike kinky","finger (the little),pinky (the)"
avaler (action d'),fitelemana,"delicacy (a),gorge (a),throat (a)"
avant-bras (un),lanton-tanana,arm (an)
barbe (une),"sômbotro,somotra,volombava","beard (a),moustache (a)"
bassin (un),"taola-maoja,taola-moja",pelvis bones
bave (une),ivy,saliva
bec (un),vava,mouth (a)
bile,"afero,azoazo,ranonafero","bile,gall-bladder,gall"
blessé,vaky ra,"bleeding,bleed (to)"
bosse (une),trafo,hump (a)
bouche (une),vava,mouth (a)
bras (un avant-),lanton-tanana,arm (an)
bras (un),sandry,arm (an)
cadavre (un),faty,"corpse (a),death"
cage thoracique (une),haran-tratra,ribcage (a)
callosités (des),kotro,hoof (a)
callosité (une),kitro,"callus (a),corn (a)"
cals (des),kotro,hoof (a)
canine,"famakifary,vangy",eye teeth
carcasse (une),vatana,"body (the),trunk (the)"
carpe,"taolan-katotanana,taolan-katsika,taolan-tanana","carpus,metacarpus"
cartilage,"taola-malemy,taolan-karepoka","cartilage,gristle"
cellule (une),sela,cell (a)
cerveau (un),"atidoha,betro","brain (a),brains (the),forehead (a),intellect (an)"
